product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count,Date
6.20302E+12,Extra Berry Flavor Carbonated Soft Drink,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,11,May-21
5.60367E+12,Air Freshener Lemon-Lime,250 ml,ACTY,PT,Mistolin Company,MZ,https://wastebase.org/#/o/d54cec79-4126-4214-9111-e54ff2fdfbb5,,1,May-21
5.449E+12,still drinking water,1.5 L,Dasani,US,Coca-Cola,TZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1,May-21
5.449E+12,Coke,1.25L,Coca-Cola,US,Coca-Cola,TZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,3,May-21
6.16111E+12,Energy Drink,350 ml,Frozy,MZ,Yaafico Industrial Lda,MZ,https://wastebase.org/#/o/4d807269-db16-4aaf-a454-934634c8c319,25,234,May-21
20011697,Fresh Milk Full Cream,2.0 L,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1,May-21
6.034E+12,Alomo Bitters,200 ml,Kasapreko,GH,Kasapreko Company Limited,MZ,https://wastebase.org/#/o/2f20b39a-fcb2-4a3e-a1ae-5d25cd7c23e5,,1,May-21
5.449E+12,Sparletta,2.0 L,Sparletta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,49,12,May-21
6.10696E+11,Vimto Gasificado,350 ml,Vimto,GB,Nichols plc,MZ,https://wastebase.org/#/o/85022289-591b-4e34-907f-4c54a87c522f,,5,May-21
6.00966E+12,Vimto Gasificado,500ml,Vimto,GB,Nichols plc,MZ,https://wastebase.org/#/o/85022289-591b-4e34-907f-4c54a87c522f,,3,May-21
5.449E+12,Coca Cola,1.0 L,Coca-Cola,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,37.5,341,May-21
6.00966E+12,Fiesta,2.0 L,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,,12,May-21
6.20301E+12,Pure Sunflower Oil,1.0 L,Sundrop,TZ,Alaska Tanzania Industries,MZ,https://wastebase.org/#/o/6c9706c2-2edf-4594-8755-f91c1d6d67a1,,10,May-21
6.00111E+12,Bleach Pot Pourri,750ml,Jik,GB,Reckitt Benckiser Group PLC,MZ,https://wastebase.org/#/o/59e1b4f2-776f-4c60-8f22-a59a506ce7b6,,1,May-21
6.20301E+12,Pure Drinking Water,6.0 L,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1,May-21
6.93077E+12,Gelinho Banana,200 ml,Super,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.93077E+12,Bebida Maça / Apple Drink,100 ml,Super,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.00982E+12,agua vengo Manica,330ml,Vengo,MZ,Água Vengo,MZ,https://wastebase.org/#/o/341b98a9-77c5-46f6-874d-6cc972ef077e,,1,May-21
